text,top_class,hate_speech,offensive_language,neither
Wazzup papi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pog,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Wth didn’t get a notification,neither,0.02754428058203616,0.3724304112294572,0.6000253081885066
ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Skawooooop,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
pogitivity?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP ceezPogitivity ceezP ceezPogitivity ceezP ceezPogitivity ceezP ceezPogitivity ceezP ceezPogitivity ceezP ceezPogitivity ceezP ceezPogitivity ceezP ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ageeee,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BRUTHER,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezBrush ceezBrush ceezBrush ceezBrush,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceez,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
FORTNITE FORTNITE FOR SURE,neither,0.02401742335574164,0.4711104313852341,0.5048721452590242
FORTNITE FOR SUREEE,neither,0.023896577328981292,0.2538532852897668,0.7222501373812519
38 months legend,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
What up chat 🔥🔥🔥🔥,neither,0.04268701058436685,0.38974047704151576,0.5675725123741174
ceezLady ceezLady ceezLady ceezLady ceezLady ceezP ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
CEEZZZZZZZ,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hellooooooooooooooooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Te amo papi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Lets get it,neither,0.035792812152059726,0.3614291354098794,0.6027780524380607
ceezBrush ceezBrush ceezBrush ceez,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
